Journal of Neural Transmission,paper_titles,ISSN,eISSN,Impact_factor
0,NETNOMICS: Economic Research and Electronic Networking,1385-9587,1573-7071,2.0 (2022)
1,"NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin",0036-6978,1420-9144,0.4 (2022)
2,Nano Convergence,,,
3,Nano Research,1998-0124,1998-0000,9.9 (2022)
4,Nano-Micro Letters,2311-6706,2150-5551,26.6 (2022)
5,NanoBiotechnology,,,
6,NanoEthics,1871-4757,1871-4765,1.3 (2022)
7,Nanobiotechnology Reports,2635-1676,2635-1684,0.7 (2022)
8,Nanomanufacturing and Metrology,2520-811X,2520-8128,
9,Nanotechnology for Environmental Engineering,2365-6379,2365-6387,10 days
10,National Academy Science Letters,0250-541X,2250-1754,1.1 (2022)
11,Natur und Recht,0172-1631,1439-0515,"68,981 (2022)"
12,Natural Computing,1567-7818,1572-9796,2.1 (2022)
13,Natural Hazards,0921-030X,1573-0840,3.7 (2022)
14,Natural Language & Linguistic Theory,0167-806X,1573-0859,1.3 (2022)
15,Natural Language Semantics,0925-854X,1572-865X,1.1 (2022)
16,Natural Resources Research,1520-7439,1573-8981,5.4 (2022)
17,Naunyn-Schmiedeberg's Archives of Pharmacology,0028-1298,1432-1912,3.6 (2022)
18,Nederlands Tijdschrift voor Diabetologie,1567-2743,1876-6242,"18,981 (2022)"
19,Nederlands Tijdschrift voor Evidence Based Practice,,,
20,Nederlands Tijdschrift voor Traumachirurgie,,,
21,Negotiation Journal,,,
22,Neohelicon,0324-4652,1588-2810,0.2 (2022)
23,Neophilologus,0028-2677,1572-8668,0.2 (2022)
24,Neotropical Entomology,,,1.8 (2022)
25,Netherlands Heart Journal,1568-5888,1876-6250,2.0 (2022)
26,Netherlands International Law Review,0165-070X,1741-6191,0.9 (2022)
27,Netherlands journal of psychology,,,
28,Network Modeling Analysis in Health Informatics and Bioinformatics,,,2.3 (2022)
29,Networking Science,,,
30,Networks and Spatial Economics,1566-113X,1572-9427,2.4 (2022)
31,Neue Politische Literatur,0028-3320,2197-6082,"70,777 (2022)"
32,Neural Computing and Applications,0941-0643,1433-3058,6.0 (2022)
33,Neural Development,,,
34,Neural Processing Letters,1370-4621,1573-773X,3.1 (2022)
35,Neural Systems & Circuits,,,
36,NeuroMolecular Medicine,,,3.5 (2022)
37,Neurochemical Journal,1819-7124,1819-7132,0.5 (2022)
38,Neurochemical Research,0364-3190,1573-6903,4.4 (2022)
39,Neurocritical Care,1541-6933,1556-0961,3.5 (2022)
40,Neuroethics,,,1.4 (2022)
41,Neuroinformatics,,,3.0 (2022)
42,Neurological Research and Practice,,,
43,Neurological Sciences,1590-1874,1590-3478,3.3 (2022)
44,Neurology and Therapy,2193-8253,2193-6536,3.7 (2022)
45,Neurophysiology,0090-2977,1573-9007,0.5 (2022)
46,Neuropraxis,,,
47,Neuropsychiatric Electrophysiology,,,
48,Neuropsychology Review,1040-7308,1573-6660,5.8 (2022)
49,Neuroradiology,0028-3940,1432-1920,2.8 (2022)
50,Neuroscience Bulletin,1673-7067,1995-8218,5.6 (2022)
51,Neuroscience and Behavioral Physiology,0097-0549,1573-899X,8 days
52,Neurosurgical Review,,,2.8 (2022)
53,Neurotherapeutics,1933-7213,1878-7479,5.7 (2022)
54,Neurotoxicity Research,1029-8428,1476-3524,3.7 (2022)
55,Neurovascular Imaging,,,
56,New Forests,0169-4286,1573-5095,2.2 (2022)
57,New Generation Computing,0288-3635,1882-7055,2.6 (2022)
58,New Zealand Journal of Educational Studies,0028-8276,2199-4714,0.9 (2022)
59,New Zealand Journal of Forestry Science,,,
60,Nexus Network Journal,1590-5896,1522-4600,0.5 (2022)
61,Nonlinear Biomedical Physics,,,
62,Nonlinear Differential Equations and Applications NoDEA,1021-9722,1420-9004,1.2 (2022)
63,Nonlinear Dynamics,0924-090X,1573-269X,5.6 (2022)
64,"Nonlinear Dynamics, Psychology, and Life Sciences",,,
65,Nonlinear Oscillations,,,
66,Notfall + Rettungsmedizin,1434-6222,1436-0578,1.0 (2022)
67,Nuclear Medicine and Molecular Imaging,1869-3474,1869-3482,1.3 (2022)
68,Nuclear Receptor,,,
69,Nuclear Science and Techniques,1001-8042,2210-3147,2.8 (2022)
70,Numerical Algorithms,1017-1398,1572-9265,2.1 (2022)
71,Numerical Analysis and Applications,1995-4239,1995-4247,0.3 (2022)
72,Numerische Mathematik,0029-599X,0945-3245,2.1 (2022)
73,Nursing,1381-5911,2468-1431,"113,652 (2022)"
74,Nutrafoods,,,
75,Nutrient Cycling in Agroecosystems,1385-1314,1573-0867,3.1 (2022)
